time_s	DispT_m
1.513499999999999979e+01	9.435456342480363912e-02
1.514000000000000057e+01	9.502262412615047893e-02
1.514499999999999957e+01	9.561208945086827060e-02
1.515000000000000036e+01	9.611938688183752078e-02
1.515500000000000114e+01	9.655166145329723004e-02
1.516000000000000014e+01	9.693034826796442793e-02
1.516500000000000092e+01	9.723401222312207104e-02
1.516999999999999993e+01	9.743407318181417087e-02
1.517500000000000071e+01	9.756982883235522375e-02
1.517999999999999972e+01	9.770201196577679714e-02
1.518500000000000050e+01	9.787706530463238797e-02
1.518999999999999950e+01	9.805569116060747215e-02
1.519500000000000028e+01	9.814143157147550700e-02
1.520000000000000107e+01	9.807355374620498056e-02
1.520500000000000007e+01	9.784491265055686449e-02
1.521000000000000085e+01	9.757340134947473098e-02
1.521499999999999986e+01	9.736619535654363056e-02
1.522000000000000064e+01	9.718756950056854638e-02
1.522499999999999964e+01	9.695178337068142971e-02
1.523000000000000043e+01	9.656952403889473846e-02
1.523499999999999943e+01	9.605508157368648769e-02
1.524000000000000021e+01	9.549776890304420562e-02
1.524500000000000099e+01	9.499404398919446268e-02
1.525000000000000000e+01	9.452247172942022935e-02
1.525500000000000078e+01	9.401160178133148582e-02
1.525999999999999979e+01	9.337569373406016948e-02
1.526500000000000057e+01	9.262546513896478817e-02
1.526999999999999957e+01	9.184665640691341837e-02
1.527500000000000036e+01	9.107856522622052864e-02
1.528000000000000114e+01	9.029261145993014437e-02
1.528500000000000014e+01	8.940305469717420295e-02
1.529000000000000092e+01	8.831343697572616169e-02
1.529499999999999993e+01	8.704162088118352902e-02
1.530000000000000071e+01	8.567691934153386091e-02
1.530499999999999972e+01	8.431936283612319338e-02
1.531000000000000050e+01	8.302253912174405170e-02
1.531499999999999950e+01	8.171499785600640220e-02
1.532000000000000028e+01	8.029670855956420883e-02
1.532500000000000107e+01	7.868550333866891622e-02
1.533000000000000007e+01	7.686351960772300207e-02
1.533500000000000085e+01	7.484861995232401644e-02
1.533999999999999986e+01	7.272654478333996642e-02
1.534500000000000064e+01	7.056517192604140620e-02
1.534999999999999964e+01	6.844666927417686342e-02
1.535500000000000043e+01	6.638175437910483201e-02
1.535999999999999943e+01	6.437399975794484697e-02
1.536500000000000021e+01	6.238053520526286311e-02
1.537000000000000099e+01	6.040493323817838073e-02
1.537500000000000000e+01	5.845433889093041430e-02
1.538000000000000078e+01	5.655733230047498700e-02
1.538499999999999979e+01	5.470319591545357019e-02
1.539000000000000057e+01	5.284191449619314584e-02
1.539499999999999957e+01	5.092347280302070289e-02
1.540000000000000036e+01	4.895858838729473528e-02
1.540500000000000114e+01	4.703300165988328480e-02
